Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
nissan ariya 87kwh (fwd) (2021),"7,6 sec.",160 km/h,"12,84€ @ 22kW","2,56 €",~49 000 €,90 kWh , 87 kWh,242 ch , 178kW , 300 Nm,2000kg, ?, ?,500,174 Wh/km,650-445 km,134-196 Wh/km,400-315 km,218-276 Wh/km
porsche taycan 4s (awd) (2020),4 sec.,250 km/h,"10,47€ @ 11kW","2,57 €",108 632 €,"79,2 kWh ", 71 kWh,530 ch, 390 kW , 640 Nm,2215kg," 0,25 ","0,57",407,"174,4 Wh/km",525-360 km,135-197 Wh/km,350-255 km,203-258 Wh/km
Audi e-tron Quattro,"4,1 sec.",245 km/h,"12,54€ @ 11kW","2,57 €",97 800 €,"93,4 kWh ", 85 kWh,530 ch , 390 kW , 640 Nm,2350kg, ? , ?,487,"174,5 Wh/km",590-405 km,144-210 Wh/km,390-305 km,218-279 Wh/km
peugeot e-boxer 37kwh (fwd) (2021),20 sec.,110 km/h,"5,38€@7,4kW / 5,16€@22kW","2,69€ / 2,58€",Crédit bail,37 kWh , 35 kWh,122 ch , 90 kW , 260 Nm,2285kg, ? , ?,200,175 Wh/km,,,,
lotus evija (awd) 130 ex. (vendus!) (awd) (2020),< 3 sec.,340 km/h,"10,33€ @ 11kW","2,58 €",">1,9M€ !",70 kWh , 70 kWh,2000 ch , 1470kW , 1700 Nm,1680kg, ?, ?,400,175 Wh/km,,,,
nissan ariya 63kwh (fwd) (2021),"7,5 sec.",160 km/h,"9,7€ @ 7,4kW","2,69 €",~43 000 €,65 kWh , 63 kWh,218 ch , 160kW , 300 Nm,1800kg, ?, ?,360,175 Wh/km,495-335 km,127-188 Wh/km,300-235 km,210-268 Wh/km
mg marvel r performance (awd) (2022),"4,9 sec.",200 km/h,"9,99€ @ 6,6kW","2,48 €",48 000 €,"69,9 kWh ", 65 kWh,288 ch , 212 kW , 665Nm,1920kg, ?, ?,370,"175,7 Wh/km",505-345 km,129-188 Wh/km,305-140 km,213-271 Wh/km
ford mustang mach-e gt performance ed. (2021),"4,4 sec.",200 km/h,"13,28€ @ 11kW","2,66 €",75 500 €,"98,7 kWh ", 88 kWh,487 ch , 358 kW , 830 Nm,2250kg,"0,29","0,77",500,176 Wh/km,595-415 km,148-212 Wh/km,370-295 km,238-298 Wh/km
volvo c40 recharge (awd) (2021),"4,7 sec.",180 km/h,11€ @ 11kW,"2,60 €",60 000 €,78 kWh , 75 kWh,408 ch , 300 kW , 660 Nm,2202kg,"0,33","0,86",420,"178,6 Wh/km",495-350 km,152-214 Wh/km,300-240 km,250-313 Wh/km
volvo xc40 recharge twin pure (awd) (2021),"4,9 sec.",180 km/h,11€ @ 11kW,"2,60 €",57 940 €,78 kWh , 75 kWh,408 ch , 300 kW , 660 Nm,2188kg,"0,33","0,86",418,"179,4 Wh/km",500-350 km,150-214 Wh/km,305-240 km,246-313 Wh/km
jaguar i-pace ev320 suv (awd) (2020),"6,4 sec.",180 km/h,"12,5€ @ 11kW","2,66 €",70 350 €,90 kWh ," 84,7 kWh",320 ch , 235 kW , 500 Nm,2208kg,"0,29","0,73",470,"180,2 Wh/km",530-375 km,160-226 Wh/km,330-260 km,257-326 Wh/km
jaguar i-pace ev400 suv (awd) (2020),"4,8 sec.",200 km/h,"12,5€ @ 11kW","2,66 €",79 990 - 102 570 €,90 kWh ," 84,7 kWh",400 ch , 294 kW , 696 Nm,2208kg,"0,29","0,73",470,"180,2 Wh/km",530-375 km,160-226 Wh/km,330-260 km,257-326 Wh/km
porsche taycan 4s cross turismo (awd) (2020),"4,1 sec.",250 km/h,"12,35€ @ 11kW","2,73 €",112 000 €,"93,4 kWh "," 83,7 kWh",571 ch , 420 kW , 650 Nm,2245kg," 0,25 ","0,57",452,"185,2 Wh/km",575-395 km,146-212 Wh/km,370-290 km,226-289 Wh/km
porsche taycan turbo cross turismo (awd) (2020),"3,3 sec.",250 km/h,"12,35€ @ 11kW","2,73 €",155 000 €,"93,4 kWh "," 83,7 kWh",680 ch , 500 kW , 850 Nm,2320kg," 0,25 ","0,57",452,"185,2 Wh/km",545-380 km,154-220 Wh/km,355-280 km,236-299 Wh/km
